Parking_lot,file_name,month,day,year,hour,minute,yolo_car_count
StevensCreek,02-06-2020-22-41.jpeg,6,2,2020,22,41,0
StevensCreek,02-06-2020-22-53.jpeg,6,2,2020,22,53,0
StevensCreek,02-06-2020-23-04.jpeg,6,2,2020,23,4,0
StevensCreek,02-06-2020-23-15.jpeg,6,2,2020,23,15,0
StevensCreek,02-06-2020-23-26.jpeg,6,2,2020,23,26,0
StevensCreek,02-06-2020-23-37.jpeg,6,2,2020,23,37,0
StevensCreek,02-06-2020-23-49.jpeg,6,2,2020,23,49,0
StevensCreek,03-06-2020-00-00.jpeg,6,3,2020,0,0,0
StevensCreek,03-06-2020-00-11.jpeg,6,3,2020,0,11,0
StevensCreek,03-06-2020-00-22.jpeg,6,3,2020,0,22,0
StevensCreek,03-06-2020-00-33.jpeg,6,3,2020,0,33,0
StevensCreek,03-06-2020-00-44.jpeg,6,3,2020,0,44,0
StevensCreek,03-06-2020-00-54.jpeg,6,3,2020,0,54,0
StevensCreek,03-06-2020-01-05.jpeg,6,3,2020,1,5,0
StevensCreek,03-06-2020-01-16.jpeg,6,3,2020,1,16,0
StevensCreek,03-06-2020-01-27.jpeg,6,3,2020,1,27,0
StevensCreek,03-06-2020-01-37.jpeg,6,3,2020,1,37,0
StevensCreek,03-06-2020-01-49.jpeg,6,3,2020,1,49,0
StevensCreek,03-06-2020-02-12.jpeg,6,3,2020,2,12,0
StevensCreek,03-06-2020-02-22.jpeg,6,3,2020,2,22,0
StevensCreek,03-06-2020-02-33.jpeg,6,3,2020,2,33,0
StevensCreek,03-06-2020-02-44.jpeg,6,3,2020,2,44,0
StevensCreek,03-06-2020-02-55.jpeg,6,3,2020,2,55,0
StevensCreek,03-06-2020-03-06.jpeg,6,3,2020,3,6,0
StevensCreek,03-06-2020-03-17.jpeg,6,3,2020,3,17,0
StevensCreek,03-06-2020-03-29.jpeg,6,3,2020,3,29,0
StevensCreek,03-06-2020-03-40.jpeg,6,3,2020,3,40,0
StevensCreek,03-06-2020-03-51.jpeg,6,3,2020,3,51,0
StevensCreek,03-06-2020-04-02.jpeg,6,3,2020,4,2,0
StevensCreek,03-06-2020-04-12.jpeg,6,3,2020,4,12,0
StevensCreek,03-06-2020-04-23.jpeg,6,3,2020,4,23,0
StevensCreek,03-06-2020-04-35.jpeg,6,3,2020,4,35,0
StevensCreek,03-06-2020-04-45.jpeg,6,3,2020,4,45,0
StevensCreek,03-06-2020-04-58.jpeg,6,3,2020,4,58,0
StevensCreek,03-06-2020-05-09.jpeg,6,3,2020,5,9,0
StevensCreek,03-06-2020-05-20.jpeg,6,3,2020,5,20,0
StevensCreek,03-06-2020-05-31.jpeg,6,3,2020,5,31,0
StevensCreek,03-06-2020-05-42.jpeg,6,3,2020,5,42,0
StevensCreek,03-06-2020-05-53.jpeg,6,3,2020,5,53,0
StevensCreek,03-06-2020-06-03.jpeg,6,3,2020,6,3,0
StevensCreek,03-06-2020-06-14.jpeg,6,3,2020,6,14,0
StevensCreek,03-06-2020-06-25.jpeg,6,3,2020,6,25,0
StevensCreek,03-06-2020-06-36.jpeg,6,3,2020,6,36,1
StevensCreek,03-06-2020-06-47.jpeg,6,3,2020,6,47,2
StevensCreek,03-06-2020-06-57.jpeg,6,3,2020,6,57,3
StevensCreek,03-06-2020-07-08.jpeg,6,3,2020,7,8,2
StevensCreek,03-06-2020-07-19.jpeg,6,3,2020,7,19,4
StevensCreek,03-06-2020-07-30.jpeg,6,3,2020,7,30,3
StevensCreek,03-06-2020-07-41.jpeg,6,3,2020,7,41,2
StevensCreek,03-06-2020-07-52.jpeg,6,3,2020,7,52,2
StevensCreek,03-06-2020-08-03.jpeg,6,3,2020,8,3,2
StevensCreek,03-06-2020-08-14.jpeg,6,3,2020,8,14,2
StevensCreek,03-06-2020-08-25.jpeg,6,3,2020,8,25,3
StevensCreek,03-06-2020-08-36.jpeg,6,3,2020,8,36,3
StevensCreek,03-06-2020-08-57.jpeg,6,3,2020,8,57,2
StevensCreek,03-06-2020-09-07.jpeg,6,3,2020,9,7,2
StevensCreek,03-06-2020-09-17.jpeg,6,3,2020,9,17,3
StevensCreek,03-06-2020-09-27.jpeg,6,3,2020,9,27,0
StevensCreek,03-06-2020-09-37.jpeg,6,3,2020,9,37,0
StevensCreek,03-06-2020-09-47.jpeg,6,3,2020,9,47,0
StevensCreek,03-06-2020-09-57.jpeg,6,3,2020,9,57,0
StevensCreek,03-06-2020-10-07.jpeg,6,3,2020,10,7,0
StevensCreek,03-06-2020-10-17.jpeg,6,3,2020,10,17,0
StevensCreek,03-06-2020-10-27.jpeg,6,3,2020,10,27,0
StevensCreek,03-06-2020-10-37.jpeg,6,3,2020,10,37,0
StevensCreek,03-06-2020-10-47.jpeg,6,3,2020,10,47,0
StevensCreek,03-06-2020-10-57.jpeg,6,3,2020,10,57,0
StevensCreek,03-06-2020-11-07.jpeg,6,3,2020,11,7,0
StevensCreek,03-06-2020-11-17.jpeg,6,3,2020,11,17,1
StevensCreek,03-06-2020-11-27.jpeg,6,3,2020,11,27,3
StevensCreek,03-06-2020-11-37.jpeg,6,3,2020,11,37,2
StevensCreek,03-06-2020-11-48.jpeg,6,3,2020,11,48,2
StevensCreek,03-06-2020-11-58.jpeg,6,3,2020,11,58,2
StevensCreek,03-06-2020-12-08.jpeg,6,3,2020,12,8,3
StevensCreek,03-06-2020-12-18.jpeg,6,3,2020,12,18,2
StevensCreek,03-06-2020-12-29.jpeg,6,3,2020,12,29,1
StevensCreek,03-06-2020-12-39.jpeg,6,3,2020,12,39,3
StevensCreek,03-06-2020-12-49.jpeg,6,3,2020,12,49,3
StevensCreek,03-06-2020-12-59.jpeg,6,3,2020,12,59,2
StevensCreek,03-06-2020-13-09.jpeg,6,3,2020,13,9,2
StevensCreek,03-06-2020-13-19.jpeg,6,3,2020,13,19,2
StevensCreek,03-06-2020-13-29.jpeg,6,3,2020,13,29,2
StevensCreek,03-06-2020-13-39.jpeg,6,3,2020,13,39,2
StevensCreek,03-06-2020-13-49.jpeg,6,3,2020,13,49,2
StevensCreek,03-06-2020-13-59.jpeg,6,3,2020,13,59,2
StevensCreek,03-06-2020-14-09.jpeg,6,3,2020,14,9,2
StevensCreek,03-06-2020-14-19.jpeg,6,3,2020,14,19,2
StevensCreek,03-06-2020-14-29.jpeg,6,3,2020,14,29,2
StevensCreek,03-06-2020-14-40.jpeg,6,3,2020,14,40,1
StevensCreek,03-06-2020-14-50.jpeg,6,3,2020,14,50,1
StevensCreek,03-06-2020-15-00.jpeg,6,3,2020,15,0,1
StevensCreek,03-06-2020-15-10.jpeg,6,3,2020,15,10,1
StevensCreek,03-06-2020-15-20.jpeg,6,3,2020,15,20,1
StevensCreek,03-06-2020-15-30.jpeg,6,3,2020,15,30,1
StevensCreek,03-06-2020-15-40.jpeg,6,3,2020,15,40,2
StevensCreek,03-06-2020-15-50.jpeg,6,3,2020,15,50,1
StevensCreek,03-06-2020-16-00.jpeg,6,3,2020,16,0,1
StevensCreek,03-06-2020-16-10.jpeg,6,3,2020,16,10,1
StevensCreek,03-06-2020-16-20.jpeg,6,3,2020,16,20,1
StevensCreek,03-06-2020-16-30.jpeg,6,3,2020,16,30,1
StevensCreek,03-06-2020-16-40.jpeg,6,3,2020,16,40,1
StevensCreek,03-06-2020-16-50.jpeg,6,3,2020,16,50,1
StevensCreek,03-06-2020-17-00.jpeg,6,3,2020,17,0,1
StevensCreek,03-06-2020-17-10.jpeg,6,3,2020,17,10,1
StevensCreek,03-06-2020-17-20.jpeg,6,3,2020,17,20,1
IllerCreek,02-06-2020-22-00.jpeg,6,2,2020,22,0,0
IllerCreek,02-06-2020-22-10.jpeg,6,2,2020,22,10,1
IllerCreek,02-06-2020-22-20.jpeg,6,2,2020,22,20,1
IllerCreek,02-06-2020-22-31.jpeg,6,2,2020,22,31,1
IllerCreek,02-06-2020-22-41.jpeg,6,2,2020,22,41,0
IllerCreek,02-06-2020-22-53.jpeg,6,2,2020,22,53,0
IllerCreek,02-06-2020-23-04.jpeg,6,2,2020,23,4,0
IllerCreek,02-06-2020-23-15.jpeg,6,2,2020,23,15,0
IllerCreek,02-06-2020-23-26.jpeg,6,2,2020,23,26,0
IllerCreek,02-06-2020-23-37.jpeg,6,2,2020,23,37,0
IllerCreek,02-06-2020-23-49.jpeg,6,2,2020,23,49,0
IllerCreek,03-06-2020-00-00.jpeg,6,3,2020,0,0,0
IllerCreek,03-06-2020-00-11.jpeg,6,3,2020,0,11,0
IllerCreek,03-06-2020-00-22.jpeg,6,3,2020,0,22,0
IllerCreek,03-06-2020-00-33.jpeg,6,3,2020,0,33,0
IllerCreek,03-06-2020-00-44.jpeg,6,3,2020,0,44,0
IllerCreek,03-06-2020-00-54.jpeg,6,3,2020,0,54,0
IllerCreek,03-06-2020-01-05.jpeg,6,3,2020,1,5,0
IllerCreek,03-06-2020-01-16.jpeg,6,3,2020,1,16,0
IllerCreek,03-06-2020-01-27.jpeg,6,3,2020,1,27,0
IllerCreek,03-06-2020-01-37.jpeg,6,3,2020,1,37,0
IllerCreek,03-06-2020-01-49.jpeg,6,3,2020,1,49,0
IllerCreek,03-06-2020-02-01.jpeg,6,3,2020,2,1,0
IllerCreek,03-06-2020-02-12.jpeg,6,3,2020,2,12,0
IllerCreek,03-06-2020-02-22.jpeg,6,3,2020,2,22,0
IllerCreek,03-06-2020-02-33.jpeg,6,3,2020,2,33,0
IllerCreek,03-06-2020-02-44.jpeg,6,3,2020,2,44,0
IllerCreek,03-06-2020-02-55.jpeg,6,3,2020,2,55,0
IllerCreek,03-06-2020-03-06.jpeg,6,3,2020,3,6,0
IllerCreek,03-06-2020-03-17.jpeg,6,3,2020,3,17,0
IllerCreek,03-06-2020-03-29.jpeg,6,3,2020,3,29,0
IllerCreek,03-06-2020-03-40.jpeg,6,3,2020,3,40,0
IllerCreek,03-06-2020-03-51.jpeg,6,3,2020,3,51,1
IllerCreek,03-06-2020-04-02.jpeg,6,3,2020,4,2,0
IllerCreek,03-06-2020-04-12.jpeg,6,3,2020,4,12,0
IllerCreek,03-06-2020-04-23.jpeg,6,3,2020,4,23,0
IllerCreek,03-06-2020-04-35.jpeg,6,3,2020,4,35,0
IllerCreek,03-06-2020-04-45.jpeg,6,3,2020,4,45,0
IllerCreek,03-06-2020-04-58.jpeg,6,3,2020,4,58,1
IllerCreek,03-06-2020-05-09.jpeg,6,3,2020,5,9,2
IllerCreek,03-06-2020-05-20.jpeg,6,3,2020,5,20,2
IllerCreek,03-06-2020-05-31.jpeg,6,3,2020,5,31,3
IllerCreek,03-06-2020-05-42.jpeg,6,3,2020,5,42,3
IllerCreek,03-06-2020-05-53.jpeg,6,3,2020,5,53,3
IllerCreek,03-06-2020-06-03.jpeg,6,3,2020,6,3,4
IllerCreek,03-06-2020-06-14.jpeg,6,3,2020,6,14,4
IllerCreek,03-06-2020-06-25.jpeg,6,3,2020,6,25,4
IllerCreek,03-06-2020-06-36.jpeg,6,3,2020,6,36,4
IllerCreek,03-06-2020-06-47.jpeg,6,3,2020,6,47,4
IllerCreek,03-06-2020-06-57.jpeg,6,3,2020,6,57,3
IllerCreek,03-06-2020-07-08.jpeg,6,3,2020,7,8,4
IllerCreek,03-06-2020-07-19.jpeg,6,3,2020,7,19,5
IllerCreek,03-06-2020-07-30.jpeg,6,3,2020,7,30,4
IllerCreek,03-06-2020-07-41.jpeg,6,3,2020,7,41,4
IllerCreek,03-06-2020-07-52.jpeg,6,3,2020,7,52,3
IllerCreek,03-06-2020-08-03.jpeg,6,3,2020,8,3,1
IllerCreek,03-06-2020-08-14.jpeg,6,3,2020,8,14,2
IllerCreek,03-06-2020-08-25.jpeg,6,3,2020,8,25,2
IllerCreek,03-06-2020-08-36.jpeg,6,3,2020,8,36,1
IllerCreek,03-06-2020-08-57.jpeg,6,3,2020,8,57,0
IllerCreek,03-06-2020-09-07.jpeg,6,3,2020,9,7,1
IllerCreek,03-06-2020-09-17.jpeg,6,3,2020,9,17,1
IllerCreek,03-06-2020-09-27.jpeg,6,3,2020,9,27,1
IllerCreek,03-06-2020-09-37.jpeg,6,3,2020,9,37,3
IllerCreek,03-06-2020-09-47.jpeg,6,3,2020,9,47,5
IllerCreek,03-06-2020-09-57.jpeg,6,3,2020,9,57,4
IllerCreek,03-06-2020-10-07.jpeg,6,3,2020,10,7,5
IllerCreek,03-06-2020-10-17.jpeg,6,3,2020,10,17,5
IllerCreek,03-06-2020-10-27.jpeg,6,3,2020,10,27,4
IllerCreek,03-06-2020-10-37.jpeg,6,3,2020,10,37,6
IllerCreek,03-06-2020-10-47.jpeg,6,3,2020,10,47,5
IllerCreek,03-06-2020-10-57.jpeg,6,3,2020,10,57,8
IllerCreek,03-06-2020-11-07.jpeg,6,3,2020,11,7,7
IllerCreek,03-06-2020-11-17.jpeg,6,3,2020,11,17,6
IllerCreek,03-06-2020-11-27.jpeg,6,3,2020,11,27,7
IllerCreek,03-06-2020-11-37.jpeg,6,3,2020,11,37,7
IllerCreek,03-06-2020-11-48.jpeg,6,3,2020,11,48,6
IllerCreek,03-06-2020-11-58.jpeg,6,3,2020,11,58,7
IllerCreek,03-06-2020-12-08.jpeg,6,3,2020,12,8,8
IllerCreek,03-06-2020-12-18.jpeg,6,3,2020,12,18,7
IllerCreek,03-06-2020-12-29.jpeg,6,3,2020,12,29,7
IllerCreek,03-06-2020-12-39.jpeg,6,3,2020,12,39,6
IllerCreek,03-06-2020-12-49.jpeg,6,3,2020,12,49,5
IllerCreek,03-06-2020-12-59.jpeg,6,3,2020,12,59,7
IllerCreek,03-06-2020-13-09.jpeg,6,3,2020,13,9,8
IllerCreek,03-06-2020-13-19.jpeg,6,3,2020,13,19,7
IllerCreek,03-06-2020-13-29.jpeg,6,3,2020,13,29,7
IllerCreek,03-06-2020-13-39.jpeg,6,3,2020,13,39,5
IllerCreek,03-06-2020-13-49.jpeg,6,3,2020,13,49,6
IllerCreek,03-06-2020-13-59.jpeg,6,3,2020,13,59,6
IllerCreek,03-06-2020-14-09.jpeg,6,3,2020,14,9,4
IllerCreek,03-06-2020-14-29.jpeg,6,3,2020,14,29,4
IllerCreek,03-06-2020-14-40.jpeg,6,3,2020,14,40,2
IllerCreek,03-06-2020-14-50.jpeg,6,3,2020,14,50,2
IllerCreek,03-06-2020-15-00.jpeg,6,3,2020,15,0,2
IllerCreek,03-06-2020-15-10.jpeg,6,3,2020,15,10,2
IllerCreek,03-06-2020-15-20.jpeg,6,3,2020,15,20,2
IllerCreek,03-06-2020-15-30.jpeg,6,3,2020,15,30,3
IllerCreek,03-06-2020-15-40.jpeg,6,3,2020,15,40,2
IllerCreek,03-06-2020-15-50.jpeg,6,3,2020,15,50,3
IllerCreek,03-06-2020-16-00.jpeg,6,3,2020,16,0,6
IllerCreek,03-06-2020-16-10.jpeg,6,3,2020,16,10,5
IllerCreek,03-06-2020-16-20.jpeg,6,3,2020,16,20,3
IllerCreek,03-06-2020-16-30.jpeg,6,3,2020,16,30,1
IllerCreek,03-06-2020-16-40.jpeg,6,3,2020,16,40,8
IllerCreek,03-06-2020-16-50.jpeg,6,3,2020,16,50,4
IllerCreek,03-06-2020-17-00.jpeg,6,3,2020,17,0,7
IllerCreek,03-06-2020-17-10.jpeg,6,3,2020,17,10,7
IllerCreek,03-06-2020-17-20.jpeg,6,3,2020,17,20,7
